"V1" "V2" "V3" "V4" "V5" "V6"
3.2222 1.8049 -0.7292 3.943 -2.57 0.1268
-0.1317 0.6649 0.37 -1.7164 -0.2743 -0.4117
1.2855 1.2038 1.0428 1.7491 2.719 -1.3391
2.5898 2.7029 -2.3604 3.2087 -0.6981 2.9259
-5.0437 0.7017 -1.8408 3.5534 -0.8601 -0.0264
-1.6615 8.7325 0.0757 2.6384 1.099 6.4019
-0.114 1.1871 2.8995 4.0683 0.4463 1.8008
-0.3633 -2.1863 0.07 0.8678 -3.5711 -0.4884
2.4035 -3.6853 0.138 -2.268 -0.9621 1.4742
2.4771 -1.297 1.5715 -1.7065 -0.0924 -0.3067
2.8912 1.2159 2.2523 -0.2124 5.0646 1.7528
1.6437 3.4093 1.3472 2.0207 0.5641 -1.8872
-2.1201 1.3665 2.2506 0.5533 7.593 1.0342
-1.48 0.5197 0.9257 -1.9629 0.772 2.5281
2.3206 0.1231 1.11 0.7129 1.1102 4.0054
1.5334 -0.4988 1.592 2.6229 1.3991 0.1588
2.4933 1.8601 1.4006 -0.7809 2.3344 1.3918
-1.1859 -2.7345 -1.8502 -1.9492 0.9114 -5.0602
-1.3098 7.4423 -2.3749 -0.1029 0.6108 2.7034
0.3355 2.3148 1.4703 -0.6067 2.2772 -0.9394
5.2366 2.6263 4.3387 7.0095 3.1951 3.5565
-0.0992 5.2272 3.1333 4.1311 0.7954 -3.491
-0.3282 -0.2788 -1.411 -5.6065 -0.6186 0.0935
-0.7957 3.7027 0.6678 0.1799 -2.4035 1.4971
0.0447 -2.0026 -1.5914 0.8927 -2.6539 -0.4745
-1.6744 5.615 -2.4767 3.516 1.7779 -1.0781
1.1198 2.0156 2.2168 -0.189 -0.0107 0.4134
-1.4369 3.7885 -2.152 -1.7181 -5.4196 6.4213
0.46 2.7126 0.8622 2.4598 3.9167 8.4739
0.1355 4.905 1.8044 -1.8133 4.0663 1.2533
1.6595 1.1238 0.0518 2.4642 2.1364 0.1275
0.4942 0.3816 1.0067 4.803 0.9239 4.2389
0.877 0.5615 0.3193 0.1145 2.4935 0.6214
-0.797 -2.0013 0.4282 2.0939 1.8762 -1.948
-3.1459 -0.4776 -3.1112 -1.6588 -1.4716 3.6649
-1.9626 -6.2158 -1.9962 -3.5389 0.8925 0.6427
0.1689 3.983 -1.4953 3.9759 -0.4664 1.682
2.7965 7.4267 0.1125 3.9353 2.8886 1.6486
0.076 3.1747 1.915 2.6043 1.7043 -0.2829
-1.0684 -3.2134 -4.7031 -3.4813 -5.3128 1.4331
0.9279 1.1239 4.5477 0.9244 2.1247 -0.7663
6.003 3.539 1.626 -0.5325 -0.9952 4.057
-1.995 -1.5795 -1.0803 3.359 0.2883 -1.3569
4.01 -0.6403 3.2544 1.141 2.4531 5.8166
-1.712 0.8114 -0.5315 1.017 1.508 0.3082
-3.2918 -5.5965 -2.3538 4.3172 -1.6134 -0.5257
-1.698 1.0032 0.6987 -2.4247 2.4589 -8.1201
2.1443 -3.0448 2.0429 -4.0548 0.8403 -3.2702
1.3683 -3.0054 2.4251 4.2492 2.2228 0.1795
