"V1" "V2" "V3"
3.8071 3.7056 -0.8641
3.0801 3.5405 6.8784
2.0694 5.5757 3.5408
2.6899 2.3145 3.0304
1.647 1.7703 0.9625
1.903 3.4967 6.3704
4.9658 1.1233 0.4328
2.0045 3.6154 4.293
2.5266 4.8863 3.5436
1.7042 1.598 2.6558
5.4324 -0.983 1.7708
0.8041 2.6802 4.2193
0.1135 -4.1755 -3.2527
2.736 1.5885 2.0212
4.0607 3.2894 -1.7173
5.3323 2.104 1.7348
-1.4159 0.5009 1.8851
0.1867 0.3335 4.2232
1.8564 3.4168 3.8535
2.4382 2.911 3.7866
4.9436 1.4879 -3.3158
0.2568 -0.4206 -1.6235
-0.9825 1.9316 4.0577
3.0454 2.8822 3.7831
4.8877 2.6747 2.1208
2.4008 3.1241 -0.8845
-1.2118 3.0883 6.3906
1.1068 2.9578 0.881
4.4618 1.325 1.3653
2.1884 -0.3953 0.1201
4.3035 3.9548 3.8482
1.7889 5.3429 2.0708
-1.2898 2.559 3.9486
1.2999 1.9051 1.9749
1.8931 -0.2875 5.1728
5.7327 4.369 5.833
2.6452 1.8548 -0.075
3.02 2.4364 2.5156
0.4114 0.7479 3.526
1.1691 3.5059 4.6116
4.7956 1.4498 1.8094
1.8921 3.2048 -3.66
1.5943 2.7638 4.1923
1.9725 3.4753 5.4119
2.5815 4.3299 -0.9154
4.5937 6.3538 1.5438
2.8189 1.8627 1.0786
0.5985 2.1364 1.8079
0.7767 3.3442 2.072
0.5881 3.6359 5.2202
3.6289 3.6865 3.708
1.621 2.4916 2.988
5.0379 4.0781 2.6861
2.8579 2.1273 2.2219
3.853 6.4428 2.1593
1.7785 1.04 1.4258
