V1,V2,V3,Grupos
3.8071,3.7056,-0.8641,1
3.0801,3.5405,6.8784,1
2.0694,5.5757,3.5408,1
2.6899,2.3145,3.0304,1
1.647,1.7703,0.9625,1
1.903,3.4967,6.3704,1
4.9658,1.1233,0.4328,1
2.0045,3.6154,4.293,1
2.5266,4.8863,3.5436,1
1.7042,1.598,2.6558,1
5.4324,-0.983,1.7708,1
0.8041,2.6802,4.2193,1
0.1135,-4.1755,-3.2527,1
2.736,1.5885,2.0212,1
4.0607,3.2894,-1.7173,1
5.3323,2.104,1.7348,1
-1.4159,0.5009,1.8851,1
0.1867,0.3335,4.2232,1
1.8564,3.4168,3.8535,1
2.4382,2.911,3.7866,1
4.9436,1.4879,-3.3158,1
0.2568,-0.4206,-1.6235,1
-0.9825,1.9316,4.0577,1
3.0454,2.8822,3.7831,1
4.8877,2.6747,2.1208,1
2.4008,3.1241,-0.8845,1
-1.2118,3.0883,6.3906,1
1.1068,2.9578,0.881,1
4.4618,1.325,1.3653,1
2.1884,-0.3953,0.1201,1
4.3035,3.9548,3.8482,1
1.7889,5.3429,2.0708,1
-1.2898,2.559,3.9486,1
1.2999,1.9051,1.9749,1
1.8931,-0.2875,5.1728,1
5.7327,4.369,5.833,1
2.6452,1.8548,-0.075,1
3.02,2.4364,2.5156,1
0.4114,0.7479,3.526,1
1.1691,3.5059,4.6116,1
4.7956,1.4498,1.8094,1
1.8921,3.2048,-3.66,1
1.5943,2.7638,4.1923,1
1.9725,3.4753,5.4119,1
2.5815,4.3299,-0.9154,1
4.5937,6.3538,1.5438,1
2.8189,1.8627,1.0786,1
0.5985,2.1364,1.8079,1
0.7767,3.3442,2.072,1
0.5881,3.6359,5.2202,1
3.6289,3.6865,3.708,1
1.621,2.4916,2.988,1
5.0379,4.0781,2.6861,1
2.8579,2.1273,2.2219,1
3.853,6.4428,2.1593,1
1.7785,1.04,1.4258,1
1.6913,0.4445,1.7858,2
1.2684,0.7882,2.104,2
-0.0459,-2.5367,-2.802,2
2.8291,2.4949,-0.4392,2
3.7414,7.8177,5.7197,2
4.9622,5.3181,5.1736,2
0.4893,1.7745,4.648,2
6.031,5.7751,4.611,2
2.449,1.7202,3.1181,2
1.7982,3.5535,2.7016,2
3.1488,5.0498,6.5269,2
0.5619,-2.5126,-2.8616,2
-0.127,3.3092,5.2973,2
1.8846,0.6704,1.0796,2
1.8684,3.5258,3.9465,2
0.3096,1.7857,2.1622,2
3.071,2.7732,4.0773,2
-0.7655,0.841,-0.3565,2
0.2827,0.408,1.5682,2
3.9063,3.09,3.0324,2
3.6965,3.6677,1.8128,2
3.958,0.3168,1.8345,2
2.2007,3.5143,2.5239,2
0.3682,2.131,4.8969,2
0.3791,-1.5022,-2.4666,2
2.7764,2.4247,-0.1523,2
-4.4213,-5.0832,-1.8439,2
4.3768,0.2441,-2.6454,2
-0.7514,2.521,3.7704,2
2.558,2.9853,4.674,2
4.4412,5.1988,2.8999,2
1.2368,0.4362,4.9448,2
1.8422,1.3682,-0.18,2
0.4132,5.2307,2.3483,2
3.1593,2.2107,-1.1715,2
-0.3431,1.2997,4.7797,2
4.4156,3.7549,2.7978,2
2.8511,3.6647,1.7653,2
-0.0307,-0.3702,0.1994,2
2.8374,-0.0106,1.0664,2
1.1948,3.8133,7.9116,2
-0.2516,1.5228,4.8234,2
0.5222,-0.6639,-2.4901,2
1.6939,2.0925,2.9469,2
0.9125,0.4101,0.6783,2
2.3518,1.2326,-0.3859,2
0.2762,3.3019,3.3199,2
0.9352,-1.4642,-1.1613,2
4.5098,1.101,0.5475,2
-0.4081,-0.2896,0.3677,2
1.7154,2.7602,0.1465,2
-0.5465,0.1138,2.8273,2
6.5023,5.1511,-2.0874,2
2.3387,1.411,3.1044,2
3.1326,2.2866,3.3951,2
1.9557,0.081,1.8815,2
